pnr,age,gen,loss,music,empathy,associations,avg_valence_pp,avg_arousal_pp,avg_happy_pp,avg_sad_pp,avg_scary_pp,avg_peaceful_pp,ex,valence,arousal,r_happy,r_sad,r_scary,r_peaceful,f_happy,f_sad,f_scary,f_peaceful,avg_happy,avg_sad,avg_scary,avg_peaceful
0,25,Male,no,1,30,musical,4.13,4.75,3.25,1.44,2.13,2.88,P1,7,7,6,1,1,3,6,1,1,3,6,1,1,3
1,31,Male,no,5,31,musical,6.13,4.5,3.25,1.94,0.63,3.75,T1,2,4,3,0,4,0,4,0,4,0,3.5,0,4,0
2,31,Male,no,2,32,both,5.5,3.38,2.75,1.19,1.38,2.81,H2,4,6,7,0,0,3,6,0,0,2,6.5,0,0,2.5
3,38,Other,no,4,49,musical,6.75,5,4.5,1.25,2.31,4.25,T1,7,1,6,3,0,7,3,0,0,7,4.5,1.5,0,7
4,29,Male,no,1,42,musical,5.5,4.63,3.69,0.06,1.31,1.81,H2,7,6,6,0,0,3,4,0,0,3,5,0,0,3
5,31,Female,no,0,49,musical,5.63,4.75,3.5,1,0.69,2.56,T2,7,4,7,0,0,3,3,0,0,2,5,0,0,2.5
6,37,Female,no,3,54,imaginative,7.25,5.5,5.31,0.5,0.13,3.69,P1,8,2,5,4,1,7,3,0,0,7,4,2,0.5,7
7,23,Female,no,5,42,imaginative,7.25,4.88,5.56,0.25,1.13,2.38,S2,7,7,9,0,1,1,8,0,0,0,8.5,0,0.5,0.5
8,26,Female,no,5,47,musical,5.63,5,3.81,1.44,1.75,4.13,H2,6,4,9,0,0,7,7,0,0,7,8,0,0,7
9,24,Male,no,0,26,imaginative,5.25,4.13,1.44,0.31,0,1.81,H2,5,3,1,0,0,2,0,0,0,0,0.5,0,0,1
10,29,Female,no,0,22,no,8,5.38,2,1.75,2.88,1.63,H2,8,3,5,0,0,6,5,0,0,6,5,0,0,6
11,36,Female,moderate,1,15,musical,5.63,6.88,3.88,0.75,2.69,2.69,H1,7,6,6,1,0,4,5,0,0,6,5.5,0.5,0,5
12,30,Male,no,4,39,imaginative,6.5,5.88,4.88,1.19,1.38,3.94,S2,8,5,5,1,1,5,6,1,1,5,5.5,1,1,5
13,29,Male,no,1,21,imaginative,5.63,6.25,4.06,4.5,1.19,4.44,H1,5,3,7,2,1,5,6,1,1,6,6.5,1.5,1,5.5
14,54,Male,no,3,48,no,7.88,3.63,3.94,1.38,1.94,3.13,P2,9,4,7,1,0,5,6,0,0,6,6.5,0.5,0,5.5
15,27,Female,no,3,46,no,7.13,5.75,6,1.75,1.56,4.25,T2,7,7,7,0,2,0,5,0,0,5,6,0,1,2.5
16,28,Male,no,2,38,imaginative,5.75,4.5,2.94,2.38,2.38,3.31,S1,6,0,5,3,0,8,5,3,0,8,5,3,0,8
17,32,Male,no,4,12,no,6.5,6.13,4.5,2.63,2.56,3.31,T2,7,4,6,2,4,6,3,0,0,4,4.5,1,2,5
18,36,Male,no,5,47,no,4,3.13,2.38,2.19,0.25,3.38,P2,5,3,0,6,0,8,2,4,0,8,1,5,0,8
19,34,Female,no,1,45,no,6.38,5,1.19,1,0.81,0.75,P2,8,9,3,0,4,0,0,0,2,0,1.5,0,3,0
20,18,Female,no,1,41,musical,5.38,5.5,4.81,3.5,2.31,4.88,S1,4,7,3,6,6,3,2,2,7,1,2.5,4,6.5,2
21,18,Male,no,3,47,musical,7.75,5.63,5.44,3.38,3.81,8.13,H1,9,7,7,4,2,9,8,2,6,9,7.5,3,4,9
22,48,Female,no,1,39,both,6.38,7.63,5.25,2.25,1.88,2.06,P2,8,7,6,0,0,5,7,0,0,7,6.5,0,0,6
23,47,Male,no,1,50,both,6.75,6.25,4.5,0.94,2,2.88,H1,8,4,1,3,5,2,1,5,5,2,1,4,5,2
24,24,Male,no,2,25,musical,5.5,2.5,2.75,1.19,1.13,1.81,H1,8,0,1,8,0,9,0,0,0,8,0.5,4,0,8.5
25,26,Female,no,2,53,both,6.13,5.38,4.56,3,1.5,1.31,T2,8,7,8,3,2,2,5,1,0,1,6.5,2,1,1.5
26,24,Female,no,0,45,both,5.25,4,4.06,0.38,0.81,1.44,T1,9,7,7,0,0,0,7,0,0,3,7,0,0,1.5
